Sno	Code	ProductName	Qty	UOM	Rate	Value()	MainCat	SubCat
1	4189	100 ML (OP) CONT	1450	NOS	2.15	3117.5	PACKING MATERIALS	CONTAINER-PACKING
2	101805	1KG COMPOSTABLE CARRY BAG SINGLE COLOUR(13X16)	2	KGS	190.57	381.14	PACKING MATERIALS	PACKING MATERIALS
3	101806	2KG COMPOSTABLE CARRY BAG SINGLE COLOUR(16X20)	23	KGS	194.7	4478.1	PACKING MATERIALS	PACKING MATERIALS
4	105235	5 PARTITION TRAY INJECTION MOULD	50	NOS	15.27	763.5	PACKING MATERIALS	PACKING MATERIALS
5	25138	50ML CHUTNEY CUP	400	NOS	1.03	412	PACKING MATERIALS	CONTAINER-PACKING
6	8912	ADAI DOSA MIX [500GM]	2	NOS	114.41	228.82	SAVOURIES	SAVOURIES-INSTANT MIX [PIECE]
7	3128	AGARBATHI(AMBIKA HEAVEN)	2	PAKTS	201.6	403.2	RAW MATERIALS	POOJA MATERIALS
8	3126	AMUL CHEESE	5	TINS	509.6	2548	RAW MATERIALS	DAIRY PRODUCTS
9	3443	ANNACHI POO	0.2	KGS	651	130.2	RAW MATERIALS	SPICES AND MASALA
10	3287	APPALAM	19	KGS	180	3420	RAW MATERIALS	CEREALS AND PULSES
11	101537	APPALAM COVER KRAFT(26X33)CM VERGIN GLASSIN PAPER	100	NOS	2.55	255	PACKING MATERIALS	PARCEL MATERIAL-PACKING
12	29722	APPLE (KGS)	4	KGS	185	740	FRUITS	APPLE VARIETIES
13	29328	AROMAT SEASOING POWDER	26	PAKTS	29.68	771.68	RAW MATERIALS	SPICES AND MASALA
14	1502	ASSORTED DRY FRUIT SWEETS [500 GMS]	1	NOS	600	600	SWEETS	ASSORTED
15	105978	ATTA ( 1 KG )	108	KGS	41	4428	RAW MATERIALS	FLOUR
16	29687	BABYCORN (KGS)	8	KGS	115	920	VEGETABLES	CORN ITEMS
17	8240	BADAM GHEE BISCUITS 250 Gms- COOKIES	5	NOS	152.54	762.7	BAKERY	COOKIES
18	2374	BANANA LEAVES (SQUARE BIG)	2200	NOS	2.872727	6320	VEGETABLES	LEAF ITEMS
19	2717	BANANA LEAVES (SQUARE SMALL)	1800	NOS	2.783333	5010	VEGETABLES	LEAF ITEMS
20	29222	BASMATHI	30	KGS	94	2820	RAW MATERIALS	CEREALS AND PULSES
21	2052	BEANS	15	KGS	177.333333	2660	VEGETABLES	BEANS ITEMS
22	3007	BLACK SALT	2	KGS	36.73	73.46	RAW MATERIALS	SPICES AND MASALA
23	7531	BUTTER (NANDHINI)	21.5	KGS	487.890232	10489.64	RAW MATERIALS	OIL & GHEE ITEMS
24	2014	CABBAGE	18	KGS	24.444444	440	VEGETABLES	REGULAR VEGETABLES
25	2050	CAPSICUM	12	KGS	56.625	679.5	VEGETABLES	REGULAR VEGETABLES
26	2017	CARROT - OOTY	22	KGS	48.363636	1064	VEGETABLES	REGULAR VEGETABLES
27	29685	CAULIFLOWER (KGS)	74	KGS	50.486486	3736	VEGETABLES	REGULAR VEGETABLES
28	881	CHAPATHI WITH KURMA	85	NOS	49.5	4207.5	SOUTH INDIAN	SOUTH INDIAN - SPECIALITIES
29	20303	CHAT MASALA	1	KGS	282.23	282.23	RAW MATERIALS	SPICES AND MASALA
30	105751	COCONUT OIL [ 1 KG ]	10	KGS	169.05	1690.5	RAW MATERIALS	OIL & GHEE ITEMS
31	132	COCONUT POLI	185	NOS	8	1480	CHAT	POLI
32	29690	COCONUT-BIG (KGS)	25	KGS	35	875	VEGETABLES	REGULAR VEGETABLES
33	3918	COFFEE POWDER	48	KGS	477.584583	22924.06	RAW MATERIALS	COFFEE POWDER
34	250	COLOUR MODI	19	NOS	25.03	475.57	SEMI FINISHED	SF.CHAT
35	105217	COMPOSTABLE GARBAGE BAG BLACK(30X36)	9	KGS	186.44	1677.96	PACKING MATERIALS	PACKING MATERIALS
36	4166	COMPUTER ROLL(THERMOL)	50	NOS	59	2950	PACKING MATERIALS	PACKING MATERIALS
37	100864	CORN FLOUR ( ROQUETTE)	13	KGS	45.876923	596.4	RAW MATERIALS	SF.RAW MATERIALS
38	3727	COW MILK	20	LTRS	21.42	428.4	MILK & ALLIED PRODUCTS	MILK & ALLIED PRODUCTS
39	2009	CUCUMBER	6.5	KGS	34.692307	225.5	VEGETABLES	REGULAR VEGETABLES
40	888	CURD RICE	20	NOS	49.5	990	SOUTH INDIAN	VARIETY RICE
41	2356	CURDS - CM	242	KGS	40	9680	SEMI FINISHED	SF.MILK ITEMS
42	131	DHALL POLI	170	NOS	11	1870	CHAT	POLI
43	3228	DHANIYA POWDER	2	KGS	131.93	263.86	RAW MATERIALS	SPICES AND MASALA
44	4290	DISPOSAL HEAD CAP	200	NOS	0.65	130	PACKING MATERIALS	PACKING MATERIALS
45	311	DODA BURFI	0.5	KGS	600	300	SWEETS	GHEE SWEETS [KGS]
46	4237	DOSA PARCEL PAPER A2B	550	NOS	1.06	583	PACKING MATERIALS	PARCEL MATERIAL-PACKING
47	2177	FRIED CASHEWNUT PEPPER [250 GM]	4	NOS	401.79	1607.16	SAVOURIES	SAVOURIES - CASHEW ITEMS [NOS]
48	105752	GHEE [ 1 KG ]	10	KGS	415.66	4156.6	RAW MATERIALS	OIL & GHEE ITEMS
49	2016	GINGER	1.45	KGS	141.793103	205.6	VEGETABLES	GINGER & GARLIC ITEMS
50	468	GINGER THOKKU [400 GM]	2	NOS	249.11	498.22	SAVOURIES	RICE MIXES
51	8703	GOBI MANCHURIAN DRY	30	NOS	126	3780	CHINESE	CHINESE - DRY & GRAVY
52	2005	GREEN CHILLY	9.75	KGS	68.948717	672.25	VEGETABLES	REGULAR VEGETABLES
53	105754	GROUNDNUT OIL [1 KG ]	5	KGS	203	1015	RAW MATERIALS	OIL & GHEE ITEMS
54	1556	IDLY POWDER	2	KGS	126.47	252.94	RAW MATERIALS	POWDER ITEMS
55	102701	IML 1/4KG SWEET BOX	100	NOS	5.52	552	PACKING MATERIALS	SWEET BOXES-PACKING
56	102026	IML 1KG SWEET BOX	50	NOS	13.89	694.5	PACKING MATERIALS	SWEET BOXES-PACKING
57	103295	IML-250ML(OP) CONTAINER	400	NOS	4.01	1604	PACKING MATERIALS	CONTAINER-PACKING
58	103296	IML-500ML (OP) CONTAINER	350	NOS	5.31	1858.5	PACKING MATERIALS	CONTAINER-PACKING
59	3227	JEERA POWDER	1	KGS	510.53	510.53	RAW MATERIALS	SPICES AND MASALA
60	486	KAJUR CHATNY	10.2	KGS	34.877254	355.75	SEMI FINISHED	SF.CHAT
