Sno	Code	ProductName	Qty	UOM	Rate	Value()	MainCat	SubCat
1	25069	1 KGS PACKING COTTON BOX	70	NOS	38	2660	PACKING MATERIALS	PACKING MATERIALS
2	25070	1/2 KGS PACKING COTTON BOX	30	NOS	42	1260	PACKING MATERIALS	PACKING MATERIALS
3	101803	1/2KG COMPOSTABLE CARRY BAG SINGLE COLOUR(12X14)	20	KGS	170	3400	PACKING MATERIALS	PACKING MATERIALS
4	25071	1/4 KGS PACKING COTTON BOX	10	NOS	41	410	PACKING MATERIALS	PACKING MATERIALS
5	5045	10.5 X 4.5 - WHITE COVER	50	BOXES	1.42	71	STATIONARY ITEMS	STATIONARY ITEMS
6	4189	100 ML (OP) CONT	44000	NOS	2.15	94600	PACKING MATERIALS	CONTAINER-PACKING
7	104297	110ML SLIM A2B CUP	1000	NOS	0.9	900	PACKING MATERIALS	PACKING MATERIALS
8	104358	125 GM IML SWEET BOX(WEIGHT-16.25 GM)	500	NOS	3.48	1740	PACKING MATERIALS	PACKING MATERIALS
9	36427	12V 42AH QUANTA SMF BATTERY	8	NOS	5299.2	42393.6	COMPUTER MATERIALS	HARDWARE MATERIALS
10	101805	1KG COMPOSTABLE CARRY BAG SINGLE COLOUR(13X16)	110.1	KGS	190.948864	21023.47	PACKING MATERIALS	PACKING MATERIALS
11	103239	250ML HOT BEVERAGE TAKE AWAY FLASK ALUMINIUM SPOUT POUCH	150	NOS	6.49	973.5	PACKING MATERIALS	PACKING MATERIALS
12	103240	250ML HOT BEVERAGE TAKE AWAY FLASK CORRUGATED BOX	150	NOS	5.9	885	PACKING MATERIALS	PACKING MATERIALS
13	101806	2KG COMPOSTABLE CARRY BAG SINGLE COLOUR(16X20)	267.6	KGS	192.847982	51606.12	PACKING MATERIALS	PACKING MATERIALS
14	41129	300ML PULPY ORANGE	24	NOS	50	1200	RESALE	COOL DRINKS - II
15	41125	330 ML THUMS UP	24	NOS	38.5	924	RESALE	COOL DRINKS
16	41124	330ML COKE	72	NOS	38.5	2772	RESALE	COOL DRINKS
17	41126	330ML FANTA	48	NOS	38.5	1848	RESALE	COOL DRINKS
18	41123	330ML SPRITE	24	NOS	38.5	924	RESALE	COOL DRINKS
19	41130	330ML ZERO COKE	24	NOS	38.5	924	RESALE	COOL DRINKS
20	24111	4 LINES SMALL GIFT BOX (500)	4	NOS	428.57	1714.28	SWEETS	SP-SWEETS
21	105235	5 PARTITION TRAY INJECTION MOULD	4000	NOS	15.27	61080	PACKING MATERIALS	PACKING MATERIALS
22	102126	500ML HOT BEVERAGE TAKE AWAY FLASK ALUMINIUM SPOUT POUCH	125	NOS	7.38	922.5	PACKING MATERIALS	SERVICE MATERIAL-PACKING
23	102127	500ML HOT BEVERAGE TAKE AWAY FLASK CORRUGATED BOX	125	NOS	6.49	811.25	PACKING MATERIALS	SERVICE MATERIAL-PACKING
24	102212	50GRM COMPOSTABLE MIXTURE COVER(4X6)	1.6	KGS	175	280	PACKING MATERIALS	PACKING MATERIALS
25	25138	50ML CHUTNEY CUP	12000	NOS	1.03	12360	PACKING MATERIALS	CONTAINER-PACKING
26	101807	5KG CARRY BAG COMPOSTABLE SINGLE COLOUR(22X24)	84.2	KGS	194.7	16393.74	PACKING MATERIALS	PACKING MATERIALS
27	40381	A2B GHEE [200 ML]	20	NOS	144.64	2892.8	SWEETS	GHEE SWEETS [NOS]
28	40382	A2B GHEE [500 ML]	10	NOS	361.61	3616.1	SWEETS	GHEE SWEETS [NOS]
29	27174	A4 TNPL COPIER	2	NOS	10	20	STATIONARY ITEMS	STATIONARY ITEMS
30	23048	AAB ANDARA MURUKU (100 GMS)	280	NOS	44.2	12376	SAVOURIES	PACKED - SAVOURIES
31	23049	AAB BUTTER MURUKU (100 GMS)	280	NOS	40.18	11250.4	SAVOURIES	PACKED - SAVOURIES
32	256	AAB JAMOON [SMALL TIN]	50	NOS	128.57	6428.5	SWEETS	SP-SWEETS
33	255	AAB JAMOON [TIN BIG]	18	NOS	257.14	4628.52	SWEETS	SP-SWEETS
34	248	AAB RASAGULLA [SMALL TIN]	70	NOS	111.43	7800.1	SWEETS	SP-SWEETS
35	247	AAB RASAGULLA [TIN BIG]	28	NOS	222.86	6240.08	SWEETS	SP-SWEETS
