Sno	Code	ProductName	Qty	UOM	Rate	Value()	MainCat	SubCat
1	25069	1 KGS PACKING COTTON BOX	5	NOS	38	190	PACKING MATERIALS	PACKING MATERIALS
2	25070	1/2 KGS PACKING COTTON BOX	11	NOS	42	462	PACKING MATERIALS	PACKING MATERIALS
3	101803	1/2KG COMPOSTABLE CARRY BAG SINGLE COLOUR(12X14)	14	KGS	170	2380	PACKING MATERIALS	PACKING MATERIALS
4	25071	1/4 KGS PACKING COTTON BOX	16	NOS	41	656	PACKING MATERIALS	PACKING MATERIALS
5	101804	1/4KG CARRY BAG COMPOSTABLE SINGLE COLOUR(10X12)	13	KGS	265	3445	PACKING MATERIALS	PACKING MATERIALS
6	4189	100 ML (OP) CONT	2500	NOS	2.15	5375	PACKING MATERIALS	CONTAINER-PACKING
7	104297	110ML SLIM A2B CUP	0	NOS	0	0	PACKING MATERIALS	PACKING MATERIALS
8	3587	19 KG FULL CYLINDER	4	NOS	1580.6	6322.4	GAS	GAS
9	101805	1KG COMPOSTABLE CARRY BAG SINGLE COLOUR(13X16)	29	KGS	192.136551	5571.96	PACKING MATERIALS	PACKING MATERIALS
10	101806	2KG COMPOSTABLE CARRY BAG SINGLE COLOUR(16X20)	95	KGS	194.439157	18471.72	PACKING MATERIALS	PACKING MATERIALS
11	29005	47.5 KG FULL CYLINDER	122	NOS	3953.058032	482273.08	GAS	GAS
12	105235	5 PARTITION TRAY INJECTION MOULD	100	NOS	15.27	1527	PACKING MATERIALS	PACKING MATERIALS
13	25138	50ML CHUTNEY CUP	1000	NOS	1.03	1030	PACKING MATERIALS	CONTAINER-PACKING
14	101807	5KG CARRY BAG COMPOSTABLE SINGLE COLOUR(22X24)	60	KGS	194.7	11682	PACKING MATERIALS	PACKING MATERIALS
15	3328	AMUL FRESH CREAM	26.573	LTRS	204.952937	5446.21	RAW MATERIALS	DAIRY PRODUCTS
16	3443	ANNACHI POO	0.959	KGS	661.085505	633.98	RAW MATERIALS	SPICES AND MASALA
17	3287	APPALAM	75.45	KGS	180	13581	RAW MATERIALS	CEREALS AND PULSES
18	101537	APPALAM COVER KRAFT(26X33)CM VERGIN GLASSIN PAPER	50	NOS	2.55	127.5	PACKING MATERIALS	PARCEL MATERIAL-PACKING
19	29722	APPLE (KGS)	0.48	KGS	185	88.8	FRUITS	APPLE VARIETIES
20	107692	ARAI KEERAI (KGS)	113.56	KGS	20.407537	2317.48	VEGETABLES	KEERAI(GREENS) VARIETIES
21	29328	AROMAT SEASOING POWDER	6.9	PAKTS	29.68	204.79	RAW MATERIALS	SPICES AND MASALA
22	2797	ASAFOETIDA CAKE	10.628	KGS	1193.86472	12688.39	RAW MATERIALS	SPICES AND MASALA
23	29297	ASAFOETIDA POWDER	30.29	KGS	522.618867	15830.13	RAW MATERIALS	SPICES AND MASALA
24	105978	ATTA ( 1 KG )	554	KGS	41.006317	22717.5	RAW MATERIALS	FLOUR
25	2053	AVARAKAI	22.1	KGS	88.601809	1958.1	VEGETABLES	REGULAR VEGETABLES
26	29687	BABYCORN (KGS)	44.6	KGS	115	5129	VEGETABLES	CORN ITEMS
27	2020	BANANA LEAVES	2200	Nos	3.445454	7580	VEGETABLES	LEAF ITEMS
28	2374	BANANA LEAVES (SQUARE BIG)	21000	NOS	3.013333	63280	VEGETABLES	LEAF ITEMS
29	2717	BANANA LEAVES (SQUARE SMALL)	20700	NOS	2.768115	57300	VEGETABLES	LEAF ITEMS
30	2070	BANANAN LEAVES(ROUND)	4650	NOS	2.862365	13310	VEGETABLES	LEAF ITEMS
31	29222	BASMATHI	352.15	KGS	90.737327	31953.15	RAW MATERIALS	CEREALS AND PULSES
32	2052	BEANS	489.279	KGS	168.710114	82546.32	VEGETABLES	BEANS ITEMS
33	3338	BIRINJI LEAVES	0.606	KGS	90.037953	54.56	RAW MATERIALS	SPICES AND MASALA
34	3173	BLEACHING POWDER(PER 5OKG	13	KGS	53.1	690.3	RAW MATERIALS	CLEANING MATERIALS
35	2004	BRINJAL	42.795	KGS	33.9771	1454.05	VEGETABLES	BRINJAL ITEMS
36	29674	BRINJAL UJALA	24	KGS	64	1536	VEGETABLES	BRINJAL ITEMS
37	4049	BROWN TAPE	54	NOS	52	2808	PACKING MATERIALS	PACKING MATERIALS
38	7531	BUTTER (NANDHINI)	31.204	KGS	487.420256	15209.46	RAW MATERIALS	OIL & GHEE ITEMS
39	2014	CABBAGE	437.791	KGS	24.391542	10678.4	VEGETABLES	REGULAR VEGETABLES
40	2050	CAPSICUM	7.785	KGS	54.304431	422.76	VEGETABLES	REGULAR VEGETABLES
41	3143	CARDOMAN	6.705	KGS	1889.224832	12667.25	RAW MATERIALS	SPICES AND MASALA
42	36166	CARPET BRUSH	2	NOS	59	118	RAW MATERIALS	CLEANING MATERIALS
43	2017	CARROT - OOTY	913.824	KGS	50.168575	45845.25	VEGETABLES	REGULAR VEGETABLES
44	29685	CAULIFLOWER (KGS)	303.508	KGS	51.840356	15733.96	VEGETABLES	REGULAR VEGETABLES
45	29788	CELLERY (KGS)	1	KGS	84	84	VEGETABLES	STEM VEGETABLES
46	2098	CHAKKARAVALLI KILANGU	0.245	KGS	48	11.76	VEGETABLES	KILANGU ITEMS
47	20303	CHAT MASALA	0.73	KGS	282.23	206.03	RAW MATERIALS	SPICES AND MASALA
48	3119	CHENNA MASALA	0.941	KGS	26.178182	24.63	RAW MATERIALS	SPICES AND MASALA
49	3229	CHILLY POWDER	23.636	KGS	441.206492	10428.36	RAW MATERIALS	SPICES AND MASALA
50	3162	CHILLY SAUCE	4.7	BOTLS	48.72	228.98	RAW MATERIALS	SAUCES & SYRUP
51	2024	CHOCHOW	46.605	KGS	47.529986	2215.14	VEGETABLES	REGULAR VEGETABLES
52	25605	CLOTH TOWEL BIG	154	NOS	9.559415	1472.15	PACKING MATERIALS	PACKING MATERIALS
53	3130	CLOVE(KRAMBU)	1.656	KGS	1128.75	1869.21	RAW MATERIALS	SPICES AND MASALA
54	3288	COCONUT - BROOM	25	NOS	35	875	RAW MATERIALS	CLEANING MATERIALS
55	105751	COCONUT OIL [ 1 KG ]	284.779	KGS	169.05	48141.89	RAW MATERIALS	OIL & GHEE ITEMS
56	29690	COCONUT-BIG (KGS)	2949.064	KGS	34.606956	102058.13	VEGETABLES	REGULAR VEGETABLES
57	105218	COMPOSTABLE GARBAGE BAG GREEN(32X40)	10	KGS	194.7	1947	PACKING MATERIALS	PACKING MATERIALS
58	105217	COMPOSTABLE GARBAGE BAG BLACK(30X36)	59	KGS	187.70305	11074.48	PACKING MATERIALS	PACKING MATERIALS
59	105187	COMPOSTABLE STRAW 6MM (PLA)	1600	NOS	0.4	640	PACKING MATERIALS	PACKING MATERIALS
60	4166	COMPUTER ROLL(THERMOL)	85	NOS	59	5015	PACKING MATERIALS	PACKING MATERIALS
