Sno	Code	Item Name	Qty	UOM	Rate	Value()	MainCat	SubCat
1	805	14 IDLY	446	NOS	105	49171.5	SOUTH INDIAN	IDLY VARIETIES
2	805	14 IDLY	169	NOS	120	18057.77	SOUTH INDIAN	IDLY VARIETIES
3	41129	300ML PULPY ORANGE	42	NOS	95.24	4200	RESALE	COOL DRINKS - II
4	41125	330 ML THUMS UP	37	NOS	66.67	2590.04	RESALE	COOL DRINKS
5	41124	330ML COKE	93	NOS	66.67	6510.15	RESALE	COOL DRINKS
6	41126	330ML FANTA	53	NOS	66.67	3710.04	RESALE	COOL DRINKS
7	41123	330ML SPRITE	47	NOS	66.67	3290.04	RESALE	COOL DRINKS
8	41130	330ML ZERO COKE	28	NOS	66.67	1960.03	RESALE	COOL DRINKS
9	24111	4 LINES SMALL GIFT BOX (500)	3	NOS	476.19	1500	SWEETS	SP-SWEETS
10	40381	A2B GHEE [200 ML]	9	NOS	160.71	1620	SWEETS	GHEE SWEETS [NOS]
11	40382	A2B GHEE [500 ML]	8	NOS	401.79	3600	SWEETS	GHEE SWEETS [NOS]
12	1868	A2B SPL BIRIYANI	60	NOS	245	15435	NORTH INDIAN	BASUMATI SPECIAL
13	1868	A2B SPL BIRIYANI	149	NOS	250	39112.5	NORTH INDIAN	BASUMATI SPECIAL
14	1868	A2B SPL BIRIYANI	130	NOS	280	30879.35	NORTH INDIAN	BASUMATI SPECIAL
15	905	A2B SPL SOUTH INDIAN MEALS	314	NOS	250	82425	SOUTH INDIAN	SOUTH INDIAN - MEAL VARIETIES
16	905	A2B SPL SOUTH INDIAN MEALS	53	NOS	260	14469	SOUTH INDIAN	SOUTH INDIAN - MEAL VARIETIES
17	905	A2B SPL SOUTH INDIAN MEALS	208	NOS	290	51677.14	SOUTH INDIAN	SOUTH INDIAN - MEAL VARIETIES
18	23048	AAB ANDARA MURUKU (100 GMS)	235	NOS	49.11	11607.59	SAVOURIES	PACKED - SAVOURIES
19	23049	AAB BUTTER MURUKU (100 GMS)	104	NOS	38.39	3615.38	SAVOURIES	PACKED - SAVOURIES
20	23049	AAB BUTTER MURUKU (100 GMS)	237	NOS	44.64	11847.5	SAVOURIES	PACKED - SAVOURIES
21	256	AAB JAMOON [SMALL TIN]	62	NOS	142.86	9300.04	SWEETS	SP-SWEETS
22	256	AAB JAMOON [SMALL TIN]	5	NOS	176.19	838.28	SWEETS	SP-SWEETS
23	255	AAB JAMOON [TIN BIG]	12	NOS	285.71	3600	SWEETS	SP-SWEETS
24	255	AAB JAMOON [TIN BIG]	2	NOS	352.38	740	SWEETS	SP-SWEETS
25	248	AAB RASAGULLA [SMALL TIN]	70	NOS	123.81	9100	SWEETS	SP-SWEETS
26	248	AAB RASAGULLA [SMALL TIN]	6	NOS	152.38	781.85	SWEETS	SP-SWEETS
27	247	AAB RASAGULLA [TIN BIG]	29	NOS	247.62	7540	SWEETS	SP-SWEETS
28	247	AAB RASAGULLA [TIN BIG]	2	NOS	304.76	522.85	SWEETS	SP-SWEETS
29	23052	AAB RIBBON PAKODA (100 GMS)	234	NOS	44.64	11700	SAVOURIES	PACKED - SAVOURIES
30	23052	AAB RIBBON PAKODA (100 GMS)	32	NOS	58.04	1706.9	SAVOURIES	PACKED - SAVOURIES
31	23671	AAB SPL GIFT HAMPER (GH-1)	3	NOS	1562.5	5250	SWEETS	GIFT PACK ASSORTED SWEETS
32	23676	AAB SPL GIFT HAMPER (GH-6)	1	NOS	1808.04	2025	SWEETS	GIFT PACK ASSORTED SWEETS
33	20462	AAB SPL GIFT HAMPER (GH-9)	2	NOS	796.61	1880	SWEETS	GIFT PACK ASSORTED SWEETS
34	94	AAB SPL MIXTURE	255	KGS	625	160650	SAVOURIES	SAVOURIES - MIXTURE ITEMS [KGS]
35	8570	AAB SPL MIXTURE 250GRAMS	233	NOS	156.25	40775	SAVOURIES	SAVOURIES - MIXTURE ITEMS [NOS]
36	22920	AAB SPL MIXTURE( 100 GRAM NOS )	160	NOS	62.5	11200	SAVOURIES	SAVOURIES - MIXTURE ITEMS [NOS]
37	22920	AAB SPL MIXTURE( 100 GRAM NOS )	45	NOS	80.36	3407.36	SAVOURIES	SAVOURIES - MIXTURE ITEMS [NOS]
38	428	ADAI AVAIL	124	NOS	95	12354.04	CHAT	CHAT SPECIALITIES
39	8911	ADAI DOSA MIX [200GM]	6	NOS	59.32	420	SAVOURIES	SAVOURIES-INSTANT MIX [PIECE]
40	8911	ADAI DOSA MIX [200GM]	4	NOS	76.27	299.25	SAVOURIES	SAVOURIES-INSTANT MIX [PIECE]
41	8912	ADAI DOSA MIX [500GM]	4	NOS	127.12	600	SAVOURIES	SAVOURIES-INSTANT MIX [PIECE]
42	8912	ADAI DOSA MIX [500GM]	1	NOS	161.02	136.4	SAVOURIES	SAVOURIES-INSTANT MIX [PIECE]
43	242	AJMEER CAKE	45.33	KGS	666.67	31731	SWEETS	MILK SWEETS [KGS]
44	242	AJMEER CAKE	5	KGS	819.05	3629.69	SWEETS	MILK SWEETS [KGS]
45	1042	ALOO JEERA	1	NOS	230	241.5	NORTH INDIAN	SUBJEES
46	1528	ALOO PARATHA	112	NOS	105	12348	TANDOORI	TANDOORI BREAD
47	1528	ALOO PARATHA	77	NOS	130	8874.09	TANDOORI	TANDOORI BREAD
48	995	ALU GOBI MASALA	5	NOS	225	1181.25	NORTH INDIAN	SUBJEES
49	995	ALU GOBI MASALA	27	NOS	230	6520.5	NORTH INDIAN	SUBJEES
50	995	ALU GOBI MASALA	5	NOS	250	1072.05	NORTH INDIAN	SUBJEES
51	7355	ALU PALAK	1	NOS	225	236.25	NORTH INDIAN	PALAK
52	7355	ALU PALAK	3	NOS	230	724.5	NORTH INDIAN	PALAK
53	472	AMLA PICKLE [400 GM]	1	NOS	232.14	260	SAVOURIES	PICKLES
54	102	ANDHARA MURUKU	495	KGS	491.07	245024.29	SAVOURIES	SAVOURIES - MURUKKU ITEMS [KGS]
55	6890	ANDHRA AVAKKA PICKLE [400 GM]	14	NOS	205.36	3220	SAVOURIES	PICKLES
56	23204	ANDHRA MURUKKU 200 GRAMS	523	NOS	98.21	54228.71	SAVOURIES	SAVOURIES - MURUKKU ITEMS [NOS]
57	23204	ANDHRA MURUKKU 200 GRAMS	26	NOS	120.54	3024.67	SAVOURIES	SAVOURIES - MURUKKU ITEMS [NOS]
58	24468	ANDHRA PARUPPU POWDER [100G]	12	NOS	33.9	478	SAVOURIES	SAVOURIES-BLENDED SPICES [PIECE]
59	24467	ANDHRA PARUPPU POWDER [200G]	3	NOS	67.8	240	SAVOURIES	SAVOURIES-BLENDED SPICES [PIECE]
60	55	ANGOOR JAMOON	141.247	KGS	666.67	98872.92	SWEETS	BENGALI SWEETS [KGS]
61	55	ANGOOR JAMOON	7.5	KGS	819.05	5495.31	SWEETS	BENGALI SWEETS [KGS]
62	81	ANJAL KING	4.55	KGS	1333.33	6370	SWEETS	DRY FRUIT SWEETS [KGS]
63	81	ANJAL KING	0.25	KGS	1619.05	347.23	SWEETS	DRY FRUIT SWEETS [KGS]
64	1238	APPALAM [SALE]	148	NOS	10	1554	SOUTH INDIAN	SOUTH INDIAN - SPECIALITIES
65	278	APPLE JUICE	28	NOS	125	3675	JUICE & MILK SHAKES	FRESH JUICE
66	278	APPLE JUICE	73	NOS	130	9964.5	JUICE & MILK SHAKES	FRESH JUICE
67	206	APPLE MILK SHAKE	1	NOS	145	152.25	JUICE & MILK SHAKES	MILK SHAKES
68	1512	ASSORTED BENGALI SWEETS [250 GMS]	32	NOS	166.67	5600.12	SWEETS	ASSORTED
69	8318	ASSORTED CHOCOLATE [100 GMS]	26	NOS	108.47	3327.75	BAKERY	PASTRIES
70	8317	ASSORTED CHOCOLATE [50 GMS]	28	NOS	54.24	1792.03	BAKERY	PASTRIES
