Sno	Code	ProductName	Qty	UOM	Rate	Value()	MainCat	SubCat
1	41125	330 ML THUMS UP	1	NOS	50	50.00	RESALE	COOL DRINKS
2	1238	APPALAM [SALE]	254	NOS	10	2540.00	SOUTH INDIAN	SOUTH INDIAN - SPECIALITIES
3	40982	BAKED RASAGULLA	2	NOS	40	80.00	SWEETS	BENGALI SWEETS [NOS]
4	2050	CAPSICUM	0.5	KGS	65	32.50	VEGETABLES	REGULAR VEGETABLES
5	57	CHAM CHAM	0.445	KGS	666.67	296.67	SWEETS	BENGALI SWEETS [KGS]
6	58	CHAMPAKALI	0.45	KGS	666.67	300.00	SWEETS	BENGALI SWEETS [KGS]
7	8156	CHOCOLATE DONUT	5	NOS	42.37	211.85	BAKERY	DONUT
8	132	COCONUT POLI	17	NOS	45	765.00	CHAT	POLI
9	24342	COFEE BREAD	4	NOS	60	240.00	BAKERY	BREAD
10	126	CUTLET EACH	9	NOS	35	315.00	CHAT	SPL.CALCUTTA
11	131	DHALL POLI	31	NOS	45	1395.00	CHAT	POLI
12	59	DRY JAMOON	4.29	KGS	666.67	2860.01	SWEETS	BENGALI SWEETS [KGS]
13	20793	F.PAV BHAJI MASALA	0.2	KGS	70	14.00	SEMI FINISHED-SWEET & SAV	SEMI FINISHED-CHAT
14	228	GAJARA BHAR	0.1	KGS	666.67	66.67	SWEETS	BENGALI SWEETS [KGS]
15	133	JAMOON [EACH ]	5	NOS	30.48	152.40	SWEETS	BENGALI SWEETS [NOS]
16	60	KALA JAMOON	1.25	KGS	666.67	833.34	SWEETS	BENGALI SWEETS [KGS]
17	8470	KESAR BASUNDHI 100 ML	94	NOS	64.76	6087.44	SWEETS	MILK SWEETS [NOS]
18	8982	KINLEY WATER 1 LTR	7	NOS	16.95	118.65	RESALE	WATER BOTTLE
19	107696	KOTTAMALLI (KGS)	2	KGS	180	360.00	VEGETABLES	KEERAI(GREENS) VARIETIES
20	224	KRANTHI	1.76	KGS	666.67	1173.34	SWEETS	BENGALI SWEETS [KGS]
21	63	MALAI CHAM CHAM	0.71	KGS	666.67	473.34	SWEETS	BENGALI SWEETS [KGS]
22	222	MALAI CHANDRAGULLA	0.43	KGS	666.67	286.67	SWEETS	BENGALI SWEETS [KGS]
23	1204	MALAI ROLL (PCS)	5	PICES	33.33	166.65	SWEETS	BENGALI SWEETS [NOS]
24	62	MALAI SANDWICH	0.14	KGS	666.67	93.33	SWEETS	BENGALI SWEETS [KGS]
25	20232	MINI DHALL POLI	5	NOS	22.5	112.50	CHAT	POLI
26	29686	MUSHROOM (KGS)	7.4	KGS	165	1221.00	VEGETABLES	REGULAR VEGETABLES
27	21476	MUSHROOM PUFFS	52	NOS	42.37	2203.24	BAKERY	PUFFS
28	21998	NANNARI SARBATH (H2H)	60	NOS	28.57	1714.20	H2H	H2H
29	105	ONION POKODA	11.8	KGS	401.79	4741.12	SAVOURIES	SAVOURIES - PAKODA ITEMS
30	8221	PANEER 65- PUFFS	71	NOS	50.85	3610.35	BAKERY	PUFFS
31	8219	PANNER PUFFS - [BKERY]	32	NOS	25.42	813.44	BAKERY	PUFFS
32	8220	PANNER TIKKI -PUFFS	81	NOS	50.85	4118.85	BAKERY	PUFFS
33	490	PAV BHAJI MASALA	96.88	KGS	60.12	5824.43	SEMI FINISHED-SWEET & SAV	SEMI FINISHED-CHAT
34	109	PLAINTAIN CHIPS	0.8	KGS	535.71	428.57	SAVOURIES	SAVOURIES - CHIPS ITEMS [KGS]
35	40661	RAJAPALAYAM PAKODA BOX	3	NOS	93.75	281.25	SAVOURIES	PACKED - SAVOURIES
36	24522	RAJAPALAYAM PIDI KOZHUKKATTAI	10	NOS	50	500.00	CHAT	CHAT SPECIALITIES
37	67	RASA BERRY	0.7	KGS	666.67	466.67	SWEETS	BENGALI SWEETS [KGS]
38	135	RASA MALAI [EACH ]	16	NOS	44.76	716.16	SWEETS	BENGALI SWEETS [NOS]
39	134	RASAGULLA [ EACH ]	3	NOS	35	105.00	SWEETS	BENGALI SWEETS [NOS]
40	22073	ROSE MILK	43	NOS	57.14	2457.02	SWEETS	MILK SWEETS [NOS]
41	125	SAMOSA EACH	119	NOS	35	4165.00	CHAT	SAMOSA
42	24978	SF. SUBJI ( STAFF )	0.6	KGS	80	48.00	SEMI FINISHED	SF.STAFF ITMES
43	2552	SF.ADAI FLOUR	34.4	KGS	40	1376.00	SEMI FINISHED	SF.BATTER
44	23469	SF.ANDHARA PAPPU(KEERAI)	69.79	KGS	100	6979.00	SEMI FINISHED	SF.KOOTU - VEG
45	20544	SF.AVEREKAI SAMBAR	7.76	KGS	50	388.00	SEMI FINISHED	SF.SAMBAR MEALS
46	7437	SF.AVIAL	67.06	KGS	85	5700.10	SEMI FINISHED	SF.KOOTU - VEG
47	8777	SF.BAJJI	284	NOS	20	5680.00	SEMI FINISHED	SF.BHAJJI ITEMS
48	8766	SF.BOILED MILK	83.145	LTRS	60	4988.70	SEMI FINISHED	SF.MILK ITEMS
49	20322	SF.BONDA	304.16	NOS	50	15208.00	SEMI FINISHED	SF.BHAJJI ITEMS
50	20543	SF.BRINJAL SAMBAR	51.09	KGS	35.94	1836.17	SEMI FINISHED	SF.SAMBAR MEALS
51	20407	SF.CABBAGE GREEN PEAS VEG PORIYAL	5.97	KGS	85	507.45	SEMI FINISHED	SF.PORIYAL ITEMS
52	20409	SF.CABBAGE KOOTU	9.74	KGS	85	827.90	SEMI FINISHED	SF.KOOTU - VEG
53	20402	SF.CARROT AND BEANS PORIYAL	8.7	KGS	85	739.50	SEMI FINISHED	SF.PORIYAL ITEMS
54	23518	SF.CARROT MOONG DHALL PORIYAL	8.17	KGS	5	40.85	SEMI FINISHED	SF.PORIYAL ITEMS
55	2518	SF.CHENNA MASALA	129.55	KGS	67	8679.85	SEMI FINISHED	SF.NORTH INDIAN
